Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/accounts/open-debit-card-account,2565,0,5600.0,4773.432457331987,354.6146669978043,8302.692834011395,693.8725146198831,42.71799997805809,0.0,5600,6000,6200,6200,6500,7400,7800,8100,8200,8300,8300
POST,/api/v1/users,300,0,740.0,715.5892084534571,272.4292500060983,1306.805207990692,223.29,4.996257307375215,0.0,740,840,930,1000,1100,1200,1200,1300,1300,1300,1300
,Aggregated,2865,0,5400.0,4348.5274050933995,272.4292500060983,8302.692834011395,644.5968586387435,47.7142572854333,0.0,5400,6000,6100,6200,6400,7300,7800,8000,8200,8300,8300
